No.;Kode Item;Nama Item;Jenis;Stok;Satuan;Qty / Paket;Satuan;Harga Pokok;Harga Level 1;Harga Level 2;Harga Level 3
92;BAG-003;Bag File Kancing Imco Kuning;ATK;473;Bh;1;Bh;3500;5000;5500;0
93;BAG-003;Bag File Kancing Imco Kuning;ATK;39,42;Pak;12;Bh;42000;54000;0;0
94;BAG-004;Bag File Kancing Imco Hijau;ATK;172;Bh;1;Bh;3500;5000;5500;0
95;BAG-004;Bag File Kancing Imco Hijau;ATK;14,33;Pak;12;Bh;21000;54000;0;0
96;BAG-005;Bag File Kancing Imco Biru;ATK;7;Bh;1;Bh;3500;5000;5500;0
97;BAG-005;Bag File Kancing Imco Biru;ATK;0,58;Pak;12;Bh;42000;54000;0;0
98;BAG-006;Bag File Tali Imco Bening;ATK;102;Bh;1;Bh;3500;5000;5500;0
99;BAG-006;Bag File Tali Imco Bening;ATK;8,5;Pak;12;Bh;42000;54000;0;0
100;BAG-007;Bag File Tali Imco Merah;ATK;85;Bh;1;Bh;3500;5000;5500;0
101;BAG-007;Bag File Tali Imco Merah;ATK;7,08;Pak;12;Bh;42000;54000;0;0
102;BAG-008;Bag File Tali Imco Kuning;ATK;0;Bh;1;Bh;3500;5000;5500;0
103;BAG-008;Bag File Tali Imco Kuning;ATK;0;Pak;12;Bh;42000;54000;0;0
104;BAG-009;Bag File Tali Imco Hijau;ATK;25;Bh;1;Bh;3479;5000;5500;0
105;BAG-009;Bag File Tali Imco Hijau;ATK;2,08;Pak;12;Bh;41748;54000;0;0
106;BAG-010;Bag File Tali Imco Biru;ATK;78;Bh;1;Bh;3500;5000;5500;0
107;BAG-010;Bag File Tali Imco Biru;ATK;6,5;Pak;12;Bh;42000;54000;0;0
108;BAG-011;Bag File kancing Zipper;ATK;-77;Bh;1;Bh;9583;13500;15000;0
109;BAG-011;Bag File kancing Zipper;ATK;-6,42;Pak;12;Bh;114996;146000;0;0
110;BAG-012;Bag File Zipper Sleting;ATK;8;Bh;1;Bh;8333;11500;13000;0
111;BAG-012;Bag File Zipper Sleting;ATK;0,67;Pak;12;Bh;99996;124500;0;0
112;BAG-013;Bag File Sleting Motif Batik;ATK;0;Bh;1;Bh;10500;14500;16000;0
113;BAG-013;Bag File Sleting Motif Batik;ATK;0;Pak;12;Bh;126000;157000;0;0
114;BAG-014;Bag File Zipper Microstar 2001 School Bag;ATK;0;Bh;1;Bh;10500;14500;16000;0
115;BAG-014;Bag File Zipper Microstar 2001 School Bag;ATK;0;Pak;12;Bh;126000;157000;0;0
116;BAG-015;Bag File Zipper Microstar 2002 School Bag;ATK;0;Bh;1;Bh;10500;14500;16000;0
117;BAG-015;Bag File Zipper Microstar 2002 School Bag;ATK;0;Pak;12;Bh;126000;157000;0;0
118;BAG-016;Bag File Expanding 4314;ATK;0;Bh;1;Bh;36500;49500;54500;0
119;BAG-017;Bag File Expanding Giro ZT2016;ATK;0;Bh;1;Bh;13500;18500;20500;0
120;BC-001;Binder Clips No 105 Kenko / Joyko;ATK;508;Dus;1;Dus;2083;3500;4000;0
121;BC-001;Binder Clips No 105 Kenko / Joyko;ATK;42,33;Pak;12;Dus;25000;38000;0;0
122;BC-002;Binder Clips No 107 Kenko / Joyko;ATK;1.320,00;Dus;1;Dus;2375;3500;4000;0
123;BC-002;Binder Clips No 107 Kenko / Joyko;ATK;110;Pak;12;Dus;28500;38000;0;0
124;BC-003;Binder Clips No 111 Kenko / Joyko;ATK;722;Dus;1;Dus;3666;5000;5500;0
125;BC-003;Binder Clips No 111 Kenko / Joyko;ATK;60,17;Pak;12;Dus;43992;54000;0;0
126;BC-004;Binder Clips No 155 Kenko / Joyko;ATK;574;Dus;1;Dus;5150;7000;8000;0
127;BC-004;Binder Clips No 155 Kenko / Joyko;ATK;47,83;Pak;12;Dus;61800;76000;0;0
128;BC-005;Binder Clips No 200 Kenko / Joyko;ATK;35;Dus;1;Dus;9000;12500;14000;0
129;BC-006;Binder Clips No 260 Kenko / Joyko;ATK;61;Dus;1;Dus;13500;18500;20500;0
130;BC-007;Binder Clip 280 Kenko/Joyko;ATK;30;Dus;1;Dus;20000;27000;30000;0
131;BC-008;Binder Clips 300 Kenko/Joyko;ATK;38;Dus;1;Dus;29583;53500;59000;0
132;BF-001;Box File Bindex Biru / Hitam;ATK;73;Bh;1;Bh;25000;34000;37500;0
133;BF-001;Box File Bindex Biru / Hitam;ATK;1,46;Dus;50;Bh;1250000;1530000;0;0
134;BF-002;Box File Karton Star 27;ATK;-5;Bh;1;Bh;10416;14500;16000;0
135;BF-002;Box File Karton Star 27;ATK;-0,42;Dus;12;Bh;124992;157000;0;0
136;BF-003;Box File Bantex 4011 Biru, Orange, Merah;ATK;33;Bh;1;Bh;28500;38500;42500;0
137;BF-003;Box File Bantex 4011 Biru, Orange, Merah;ATK;1,32;Dus;25;Bh;712500;866500;0;0
138;BF-004;Box File Keranjang Plastik Maspion;ATK;23;Bh;1;Bh;11000;17500;19500;0
139;BF-004;Box File Keranjang Plastik Maspion;ATK;1,92;Pak;12;Bh;132000;189000;0;0
140;BF-005;Box Kartu Nama;ATK;91;Bh;1;Bh;1650;3000;3500;0
141;BF-005;Box Kartu Nama;ATK;0,91;Pak;100;Bh;165000;270000;0;0
142;BOT-001;Boat Casing Panjang;Kertas;965;Set;1;Set;200;700;1000;700
143;BOT-002;Boat Casing Lebar;Kertas;980;Set;1;Set;200;700;1000;700
144;BOT-003;Kertas Samson;Kertas;400;Lembar;1;Lembar;400;1000;1500;0
145;BOT-004;Boat Tebal A4;Bot;1.005,00;Pcs;1;Pcs;1476;2100;2500;0
146;BOT-005;Boat Tebal F4;Bot;-220;Pcs;1;Pcs;1722;2350;2585;0
147;BOT-006;Boat plano;Bot;0;Bh;1;Bh;9800;0;0;0
148;BOT-007;Boat Casing Tipis;Bot;2.000,00;Lbr;1;Lbr;200;0;0;0
149;BOT-008;Boat 21,2x33,5 (custome);Plano;180;Pcs;1;Pcs;1722;0;0;0
150;BS-001;Bak Stempel Hero Kecil E2460;ATK;51;Bh;1;Bh;7917;11000;12500;0
151;BS-001;Bak Stempel Hero Kecil E2460;ATK;4,25;Pak;12;Bh;95004;119000;0;0
152;BS-002;Bak Stempel Hero Besar E1460;ATK;23;Bh;1;Bh;8958;12500;14000;0
153;BS-002;Bak Stempel Hero Besar E1460;ATK;1,92;Pak;12;Bh;107496;135000;0;0
154;BS-003;Bak Stempel Joiko / Kenko No 0;ATK;35;Bh;1;Bh;4625;6500;7500;0
155;BS-003;Bak Stempel Joiko / Kenko No 0;ATK;2,92;Pak;12;Bh;55500;70500;0;0
156;BS-004;Bak Stempel Joiko / Kenko No 1;ATK;20;Bh;1;Bh;5208;7500;8500;0
157;BS-004;Bak Stempel Joiko / Kenko No 1;ATK;1,67;Pak;12;Bh;62496;81000;0;0
158;BS-005;Bak Stempel Joiko / Kenko No 2;ATK;38;Bh;1;Bh;12916;17500;19500;0
159;BS-005;Bak Stempel Joiko / Kenko No 2;ATK;6,33;Pak;6;Bh;12916;94500;0;0
160;BS-006;Bak Stempel Artline No. 1;ATK;60;Bh;1;Bh;20500;28000;31000;0
161;BS-006;Bak Stempel Artline No. 1;ATK;5;Pak;12;Bh;246000;302500;0;0
162;BS-007;Bak Stampel Bulat Colop;ATK;-50;Bh;1;Bh;48500;65500;72500;0
163;BUKU-001;Buku 1/4 F (oktavo) 100 Ria;ATK;93;Bk;1;Bk;3700;5000;0;0
164;BUKU-001;Buku 1/4 F (oktavo) 100 Ria;ATK;9,3;Pak;10;Bk;37000;45000;0;0
165;BUKU-002;Buku A6 PPL;ATK;84;Bk;1;Bk;3621;5500;6500;0
166;BUKU-002;Buku A6 PPL;ATK;16,8;Pak;5;Bk;18105;25000;0;0
167;BUKU-003;Buku Bukti Kas 1/3F Prima;ATK;0;Bk;1;Bk;2500;3500;4000;0
168;BUKU-003;Buku Bukti Kas 1/3F Prima;ATK;0;Pak;10;Bk;250000;31500;0;0
169;BUKU-004;Buku Faktur Pajak;ATK;113;Bk;1;Bk;9500;13000;14500;0
170;BUKU-004;Buku Faktur Pajak;ATK;11,3;Pak;10;Bk;95000;117000;0;0
171;BUKU-005;Buku Folio 100 PPL;ATK;-7;Bk;1;Bk;13635;18500;20500;0
172;BUKU-005;Buku Folio 100 PPL;ATK;-1,4;Pak;5;Bk;68175;83500;0;0
173;BUKU-006;Buku Folio 100 Garda;ATK;0;Bk;1;Bk;12500;17000;19000;0
174;BUKU-006;Buku Folio 100 Garda;ATK;0;Pak;5;Bk;62500;76500;0;0
175;BUKU-007;Buku DFolio 100 Bintang Obor;ATK;15;Bk;1;Bk;32000;43500;48000;0
176;BUKU-007;Buku DFolio 100 Bintang Obor;ATK;3;Pak;5;Bk;160000;196000;0;0
177;BUKU-008;Buku Folio 200 PPL;ATK;17;Bk;1;Bk;25578;35000;38500;0
178;BUKU-008;Buku Folio 200 PPL;ATK;5,67;Pak;3;Bk;76734;94500;0;0
179;BUKU-009;Buku Folio 300 Bintang Obor;ATK;8;Bk;1;Bk;46500;63000;69500;0
180;BUKU-009;Buku Folio 300 Bintang Obor;ATK;2,67;Pak;3;Bk;139500;170500;0;0
181;BUKU-010;Buku Folio 500 Bintang Obor;ATK;16;Bk;1;Bk;72500;98000;108000;0
182;BUKU-010;Buku Folio 500 Bintang Obor;ATK;8;Pak;2;Bk;145000;176500;0;0
183;BUKU-011;Buku Quarto isi 100 PPL;ATK;91;Bk;1;Bk;7377;10000;11000;0
184;BUKU-011;Buku Quarto isi 100 PPL;ATK;18,2;Pak;5;Bk;36885;45000;0;0
185;BUKU-012;Buku Ekspedisi 100 Garda;ATK;0;Bk;1;Bk;5000;7000;8000;0
186;BUKU-012;Buku Ekspedisi 100 Garda;ATK;0;Pak;5;Bk;25000;31500;0;0
187;BUKU-013;Buku Ekspedisi 100 PPL;ATK;98;Bk;1;Bk;7151;10000;11000;0
188;BUKU-013;Buku Ekspedisi 100 PPL;ATK;19,6;Pak;5;Bk;35755;45000;0;0
189;BUKU-014;Buku Ekspedisi 200 Bintang Obor;ATK;15;Bk;1;Bk;11000;15000;16500;0
190;BUKU-014;Buku Ekspedisi 200 Bintang Obor;ATK;3;Pak;5;Bk;55000;67500;0;0
191;BUKU-015;Buku Gambar A4 Dodo/Ria;ATK;-10;Bk;1;Bk;2500;4000;4500;0
192;BUKU-015;Buku Gambar A4 Dodo/Ria;ATK;-1;Pak;10;Bk;25000;36000;0;0
193;BUKU-016;Buku Gambar A3 Ria;ATK;0;Bk;1;Bk;5500;7500;8500;0
194;BUKU-016;Buku Gambar A3 Ria;ATK;0;Pak;10;Bk;27500;67500;0;0
195;BUKU-017;Buku Kwitansi Kecil Sidu;ATK;53;Bk;1;Bk;1706;3000;3500;0
196;BUKU-017;Buku Kwitansi Kecil Sidu;ATK;5,3;Pak;10;Bk;17060;27000;0;0
197;BUKU-018;Buku Kwitansi Tanggung Sidu;ATK;70;Bk;1;Bk;3140;4500;5000;0
198;BUKU-018;Buku Kwitansi Tanggung Sidu;ATK;7;Pak;10;Bk;31400;40500;0;0
199;BUKU-019;Buku Kwitansi Besar Sidu;ATK;176;Bk;1;Bk;4093;6000;7000;0
200;BUKU-019;Buku Kwitansi Besar Sidu;ATK;17,6;Pak;10;Bk;40930;54000;0;0
201;BUKU-020;Buku Kas Folio B O 3 kolom;ATK;13;Bk;1;Bk;18500;27500;0;0
202;BUKU-020;Buku Kas Folio B O 3 kolom;ATK;1,3;Pak;10;Bk;185000;112500;0;0
203;BUKU-021;Buku Kas Folio Hitam;ATK;7;Bk;1;Bk;10000;13500;15000;0
204;BUKU-021;Buku Kas Folio Hitam;ATK;0,7;Pak;10;Bk;100000;121500;0;0
205;BUKU-022;Buku Kas Quarto Hitam;ATK;8;Bk;1;Bk;5000;7000;8000;0
206;BUKU-022;Buku Kas Quarto Hitam;ATK;0,8;Pak;10;Bk;50000;63000;0;0
207;BUKU-023;Buku Milimeter Blok Folio;ATK;259;Bk;1;Bk;3000;4500;0;0
208;BUKU-023;Buku Milimeter Blok Folio;ATK;25,9;Pak;10;Bk;30000;40500;0;0
209;BUKU-024;Buku Nota Besar R1 PPL;ATK;63;Bk;1;Bk;3000;4500;5000;0
210;BUKU-024;Buku Nota Besar R1 PPL;ATK;6,3;Pak;10;Bk;30000;40500;0;0
211;BUKU-025;Buku Nota Kecil R1 PPL;ATK;85;Bk;1;Bk;1775;2500;3000;0
212;BUKU-025;Buku Nota Kecil R1 PPL;ATK;8,5;Pak;10;Bk;17750;22500;0;0
213;BUKU-026;Buku Nota Besar R2 PPL;ATK;168;Bk;1;Bk;5363;8000;9000;0
214;BUKU-026;Buku Nota Besar R2 PPL;ATK;16,8;Pak;10;Bk;53630;72000;0;0
215;BUKU-027;Buku Nota Kecil R2 PPL;ATK;199;Bk;1;Bk;2773;4000;4500;0
216;BUKU-027;Buku Nota Kecil R2 PPL;ATK;19,9;Pak;10;Bk;27730;36000;0;0
217;BUKU-028;Buku Nota Besar R3 PPL;ATK;137;Bk;1;Bk;7836;11000;12500;0
218;BUKU-028;Buku Nota Besar R3 PPL;ATK;13,7;Pak;10;Bk;78360;99000;0;0
219;BUKU-029;Buku Nota Kecil R3 PPL;ATK;35;Bk;1;Bk;3859;5500;6500;0
220;BUKU-029;Buku Nota Kecil R3 PPL;ATK;3,5;Pak;10;Bk;38590;49500;0;0
221;BUKU-030;Buku SSP;ATK;49;Bk;1;Bk;9500;13000;14500;0
222;BUKU-030;Buku SSP;ATK;4,9;Pak;10;Bk;95000;117000;0;0
223;BUKU-031;Buku Surat Jalan PPL R3 1/2F;ATK;33;Bk;1;Bk;9100;12500;14000;0
224;BUKU-031;Buku Surat Jalan PPL R3 1/2F;ATK;3,3;Pak;10;Bk;91000;112500;0;0
225;BUKU-032;Buku Tamu Batik KK;ATK;0;Bk;1;Bk;14750;20000;22000;0
226;BUKU-033;Buku Tabungan;ATK;-87;Bk;1;Bk;1000;1500;2000;0
227;BUKU-034;Buku Folio 100 Kiky;ATK;9;Bk;1;Bk;18000;24500;27000;0
228;BUKU-034;Buku Folio 100 Kiky;ATK;1,8;Pak;5;Bk;90000;110500;0;0
229;BUKU-035;Buku Folio 100 Bintang Obor;ATK;50;Bh;1;Bh;14500;20000;22000;0
230;BUKU-035;Buku Folio 100 Bintang Obor;ATK;10;Pak;5;Bh;72500;90000;0;0
231;BURAM-001;Kertas Koran (Kertas Buram) A4;Kertas;16;Rim;1;Rim;22750;28500;32000;0
232;BURAM-002;Kertas Koran (Kertas Buram) F4;Kertas;-1;RIM;1;RIM;25500;30500;34000;0
233;C-001;Clipboard Executive Kayu;ATK;54;Bh;1;Bh;3750;5500;6500;0
234;C-001;Clipboard Executive Kayu;ATK;2,25;Pak;24;Bh;90000;119000;0;0
235;C-002;Clipboard Bantex 4205 Biru;ATK;24;Bh;1;Bh;15250;22000;24500;0
236;C-002;Clipboard Bantex 4205 Biru;ATK;1,2;Pak;20;Bh;305000;396000;0;0
237;C-003;Clipboard Butterfly Mika Transparant;ATK;36;Bh;1;Bh;16500;22500;25000;0
238;C-003;Clipboard Butterfly Mika Transparant;ATK;1,5;Pak;24;Bh;396000;243000;0;0
239;C-004;Crayon Pentel 16 W;ATK;0;pcs;1;pcs;14500;20000;22000;0
240;C-005;Crayon Titi 12;ATK;69;pcs;1;pcs;13500;19000;21000;0
241;C-005;Crayon Titi 12;ATK;5,75;Pak;12;pcs;162000;205500;0;0
242;C-006;Crayon Titi 24;ATK;13;pcs;1;pcs;23500;32000;35500;0
243;C-006;Crayon Titi 24;ATK;2,17;Pak;6;pcs;141000;173000;0;0
244;C-007;Crayon Titi 36;ATK;14;pcs;1;pcs;34000;46000;51000;0
245;C-007;Crayon Titi 36;ATK;2,33;Pak;6;pcs;204000;248500;0;0
246;C-008;Crayon Titi 48;ATK;0;pcs;1;pcs;52500;71000;78500;0
247;C-008;Crayon Titi 48;ATK;0;Pak;6;pcs;315000;383500;0;0
248;C-009;Crayon Titi 55;ATK;0;pcs;1;pcs;67000;90500;100000;0
249;C-009;Crayon Titi 55;ATK;0;Pak;6;pcs;402000;489000;0;0
250;C-010;Cutter  A300 Kenko / Joyko;ATK;346;Bh;1;Bh;4750;6500;7500;0
251;C-010;Cutter  A300 Kenko / Joyko;ATK;28,83;Pak;12;Bh;57000;70500;0;0
252;C-011;Cutter L500 Kenko / Joyko;ATK;290;Bh;1;Bh;11500;16000;18000;0
253;C-011;Cutter L500 Kenko / Joyko;ATK;24,17;Pak;12;Bh;138000;173000;0;0
254;C-012;Cutter Besar Gunindo;ATK;-1;Bh;1;Bh;3333;4500;0;0
255;C-012;Cutter Besar Gunindo;ATK;-0,08;Pak;12;Bh;39996;49000;0;0
256;C-013;Cutter Kecil Gunindo;ATK;0;Bh;1;Bh;2000;3000;3500;0
257;C-013;Cutter Kecil Gunindo;ATK;0;Pak;12;Bh;24000;32500;0;0
258;CB-001;Clipboard Batik Mtop;ATK;0;Bh;1;Bh;7083;10000;11000;0
259;CCD-001;Karton Concorde Putih A4 Tebal;Kertas;11;Pak;1;Pak;56000;64000;70500;0
260;CCD-002;Karton Concorde Putih F4 Tebal;Kertas;0;Pak;1;Pak;55700;61000;67500;0
261;CCD-003;Kertas Concorde Cream F4;Kertas;0;Rim;1;Rim;136800;142000;156500;0
262;CCD-004;Kertas Concorde Cream A4;Kertas;-1;Rim;1;Rim;137000;142000;156500;0
263;CCD-005;Kertas Concorde Putih F4;Kertas;3;Rim;1;Rim;115000;125000;139000;0
264;CCD-006;Kertas Concorde Putih A4;Kertas;9;Rim;1;Rim;115000;131000;144500;0
265;CD-001;Casing CD Mika;ATK;17;Bh;1;Bh;1800;2500;3000;0
266;CD-001;Casing CD Mika;ATK;0,34;Pak;50;Bh;90000;112500;0;0
267;CD-002;Casing CD Plastik;ATK;0;Bh;1;Bh;1250;2000;2500;0
268;CD-002;Casing CD Plastik;ATK;0;Pak;50;Bh;62500;90000;0;0
269;CD-003;Cash Box Joyko CB 27 A;ATK;0;Bh;1;Bh;325000;439000;483000;0
270;CD-004;Cash Box Joyko CB 26;ATK;0;Bh;1;Bh;170000;229500;252500;0
271;CD-005;C D - R Verbatin;ATK;-163;Bh;1;Bh;2550;3500;4000;0
272;CD-005;C D - R Verbatin;ATK;-3,26;Pak;50;Bh;127500;157500;0;0
273;CD-006;C D - R Verbatin Casing;ATK;4;Bh;1;Bh;7000;9500;10500;0
274;CD-006;C D - R Verbatin Casing;ATK;0,4;Pak;10;Bh;70000;85500;0;0
275;CD-007;C D - R Imation Casing;ATK;0;Bh;1;Bh;4000;5500;6500;0
276;CD-007;C D - R Imation Casing;ATK;0;Pak;20;Bh;80000;99000;0;0
