Kode Item;Nama Item;Jenis;Merek;Rak;Tipe Item;Konversi;Satuan;Harga Pokok;Harga Level 1;Harga Level 2;Harga Level 3;Harga Level 4;Keterangan
A-011;Amplop 110 PPL Gold;ATK;Amplop 110 PPL Gold;R8;INV;5;Ball;48750;49500;0;0;0;
A-012;Amplop 104 Garda;ATK;Amplop 104 Garda;R8;INV;1;Dus;14500;20000;22000;0;0;
A-012;Amplop 104 Garda;ATK;Amplop 104 Garda;R8;INV;5;Ball;72500;90000;0;0;0;
A-013;Amplop 104 Paperline;ATK;Amplop 104 Paperline;R8;INV;1;Dus;11180;15500;17500;0;0;
A-013;Amplop 104 Paperline;ATK;Amplop 104 Paperline;R8;INV;5;Ball;55900;70000;0;0;0;
A-014;Amplop Merpati Kecil ( 110 x70 );ATK;Amplop Merpati Kecil ( 110 x70 );R8;INV;1;Dus;8250;11500;13000;0;0;
A-014;Amplop Merpati Kecil ( 110 x70 );ATK;Amplop Merpati Kecil ( 110 x70 );R8;INV;5;Ball;41250;52000;0;0;0;
AC-001;Amplop Cklt DF Garda;ATK;Amplop Cklt DF Garda;R9;INV;1;Pak;92000;124500;137000;0;0;
AC-002;Amplop Cklt DF BHG;ATK;Amplop Cklt DF BHG;R9;INV;1;Pak;65000;88000;97000;0;0;
AC-003;Amplop Cklt A3 Garda;ATK;Amplop Cklt A3 Garda;R9;INV;1;Pak;72500;98000;108000;0;0;
AC-004;Amplop Cklt Supermap Garda;ATK;Amplop Cklt Supermap Garda;R9;INV;1;Pak;63000;86000;95000;0;0;
AC-005;Amplop Cklt Super Cabinet Garda;ATK;Amplop Cklt Super Cabinet Garda;R8;INV;1;Pak;24500;33500;37000;0;0;
AC-006;Amplop Cklt Cabinet Neuro;ATK;Amplop Cklt Cabinet Neuro;R8;INV;1;Pak;15000;22000;24500;0;0;
AC-007;Amplop Cklt Q Garda;ATK;Amplop Cklt Q Garda;R8;INV;1;Pak;29000;39500;43500;0;0;
AC-008;Amplop Cklt Map Neuro;ATK;Amplop Cklt Map Neuro;R8;INV;1;Pak;38000;51500;57000;0;0;
AC-009;Amplop Cklt Map Garda;ATK;Amplop Cklt Map Garda;R8;INV;1;Pak;52000;70500;78000;0;0;
AC-010;Amplop Cklt F4 GARDA;ATK;Amplop Cklt F4 GAND / Executive;R9;INV;1;Pak;38000;52000;57500;0;0;
AC-011;Amplop Cklt F4 JAYA + Lem;ATK;Amplop Cklt F4 JAYA + Lem;R8;INV;1;Pak;103000;140000;154000;0;0;
AC-012;Amplop PUTIH F4 GAND + Lem;ATK;Amplop PUTIH F4 GAND + Lem;R8;INV;1;Pak;62500;84500;93000;0;0;
AC-013;Amplop PUTIH F4  + Lem  Neuro;ATK;Amplop PUTIH F4  + Lem  Neuro;R8;INV;1;Pak;62500;84500;93000;0;0;
AC-014;Amplop Cklt A4 Garda;ATK;Amplop Cklt A4 Garda;R8;INV;1;Pak;37500;51000;56500;0;0;
AC-015;Amplop Cklt 1/2 F4 Garda/GAND;ATK;Amplop Cklt 1/2 F4 Garda;R8;INV;1;Pak;24000;34000;38000;0;0;
AC-016;Amplop Cklt F4 Tl Polos 310;ATK;Amplop Cklt F4 Tl Polos 310;R7;INV;1;Pak;109000;147500;162500;0;0;
AC-017;Amplop Cklt F4 Tl Airmail 310 GRS (100);ATK;Amplop Cklt F4 Tl Airmail 310 GRS (100);R7;INV;1;Pak;78500;106000;117000;0;0;
AC-018;Amplop Cklt A3 Tl BHG 312 (50) GRS;ATK;Amplop Cklt A3 Tl BHG 312 (50) GRS;R7;INV;1;Pak;109000;147500;162500;0;0;
AC-019;Amplop Cklt F4 Tl BHG 310 (50) GRS;ATK;Amplop Cklt F4 Tl BHG 310 (50) GRS;R7;INV;1;Pak;40500;55000;0;0;0;
AC-020;Amplop Cklt F4 Tl Airmail 310 (50) GRS;Bot;Amplop Cklt F4 Tl Airmail 310 (50) GRS;R7;INV;1;Pak;37500;55000;60500;0;0;
AC-021;Amplop Cklt F4 Tl Executive 310 (50) GRS;ATK;Amplop Cklt F4 Tl Executive 310 (50) GRS;R7;INV;1;Pak;38000;51500;57000;0;0;
AC-022;Amplop Cklt A3 Tl Airmail Polos 312;ATK;Amplop Cklt A3 Tl Airmail Polos 312;R7;INV;1;Pak;84300;114000;125500;0;0;
AC-023;Amplop CD HVS Hologram;ATK;Amplop CD HVS Hologram;R10;INV;1;Pak;23500;32000;35500;0;0;
AC-024;Amplop Cklt F4 Garda(STOK KOSONG);ATK;Amplop Cklt F4 Garda;R8;INV;1;PAK;38000;52000;57500;0;0;
AC-025;Amplop Cklt F4 GAND;ATK;Amplop Cklt F4 GAND / Executive;;INV;1;Pak;33000;45000;49500;0;0;
AC-026;Amplop Coklat Supermap GAND;ATK;Amplop Coklat Supermap GAND;;INV;1;Pak;52500;71000;78500;0;0;
AC-027;Amplop Cklt A4 Gand;ATK;Amplop Cklt A4 Gand;;INV;1;Pak;30500;43500;48000;0;0;
AC-028;Amplop Cklt Cabinet Gand;ATK;Amplop Cklt Cabinet Gand;;INV;1;Pak;14642;20000;22000;0;0;
AC-029;Amplop Cklt F4 WPS;ATK;Amplop Cklt F4 WPS;;INV;1;Pak;31000;42000;46500;0;0;
AC-030;Amplop Cklt A4 WPS;ATK;Amplop Cklt A4 WPS;;INV;1;Pak;32500;44000;48500;0;0;
AC-031;Amplop Cklt F4 Gand + Lem;ATK;Amplop Cklt F4 Gand + Lem;;INV;1;Pak;38500;52000;57500;0;0;
AC-032;Amplop Cklt A4 309 Polos Tali;ATK;Amplop Cklt A4 309 Polos Tali;;INV;1;Pak;112000;151500;167000;0;0;
AC-033;Amplop Cklt Cabinet WPS;ATK;Amplop Cklt Cabinet WPS;;INV;1;Pak;15000;26500;29500;0;0;
AC-034;Amplop Cklt A3 Gand;ATK;Amplop Cklt A3 Gand;;INV;1;Pak;72500;98000;108000;0;0;
AC-035;Amplop Cklt Cabinet Excekutif;ATK;Amplop Cklt Cabinet Excekutif;;INV;1;Pak;15000;20500;23000;0;0;
B-001;Bateray ABC Besar;ATK;Bateray ABC Besar;R9;INV;1;Bh;7083;10000;11000;0;0;
B-001;Bateray ABC Besar;ATK;Bateray ABC Besar;R9;INV;24;Pak;169992;216000;0;0;0;
B-002;Bateray ABC Kecil A2;ATK;Bateray ABC Kecil A2;R9;INV;1;Bh;2395;3500;4000;0;0;
B-002;Bateray ABC Kecil A2;ATK;Bateray ABC Kecil A2;R9;INV;24;Pak;57480;76000;0;0;0;
B-003;Bateray ABC Kotak 9 Volt Super power;ATK;Bateray ABC Kotak 9 Volt Super power;R9;INV;1;Bh;8500;11500;13000;0;0;
B-003;Bateray ABC Kotak 9 Volt Super power;ATK;Bateray ABC Kotak 9 Volt Super power;R9;INV;12;Pak;102000;124500;0;0;0;
B-004;Bateray ABC Tanggung;ATK;Bateray ABC Tanggung;R9;INV;1;Bh;4583;6500;7500;0;0;
B-004;Bateray ABC Tanggung;ATK;Bateray ABC Tanggung;R9;INV;24;Pak;109992;140500;0;0;0;
B-005;Bateray Alkalin A2;ATK;Bateray Alkalin A2;R9;INV;1;Set;12500;17000;19000;0;0;
B-005;Bateray Alkalin A2;ATK;Bateray Alkalin A2;R9;INV;24;Pak;300000;367500;0;0;0;
B-006;Bateray Alkalin A3;ATK;Bateray Alkalin A3;R9;INV;1;Set;12256;17000;19000;0;0;
B-006;Bateray Alkalin A3;ATK;Bateray Alkalin A3;R9;INV;24;Pak;294144;367500;0;0;0;
B-007;Bateray Alkalin Kotak 9V;ATK;Bateray Alkalin Kotak 9V;R9;INV;1;Bh;31666;43000;47500;0;0;
B-007;Bateray Alkalin Kotak 9V;ATK;Bateray Alkalin Kotak 9V;R9;INV;12;Pak;379992;464500;0;0;0;
B-008;Bateray Energizer A2;ATK;Bateray Energizer A2;R9;INV;1;Set;12000;16500;18500;0;0;
B-008;Bateray Energizer A2;ATK;Bateray Energizer A2;R9;INV;12;Pak;144000;178000;0;0;0;
B-009;Bateray Energizer A3;ATK;Bateray Energizer A3;R9;INV;1;Set;12000;16500;18500;0;0;
B-009;Bateray Energizer A3;ATK;Bateray Energizer A3;R9;INV;12;Pak;144000;178000;0;0;0;
B-010;Benang kasur No 60;ATK;Benang kasur No 60;R11;INV;1;Roll;5500;7500;8500;0;0;
B-010;Benang kasur No 60;ATK;Benang kasur No 60;R11;INV;10;Pak;55000;67500;0;0;0;
B-011;Bateray Panasonic 2032;ATK;Bateray Panasonic 2032;;INV;1;Bh;7000;10000;11000;0;0;
B-011;Bateray Panasonic 2032;ATK;Bateray Panasonic 2032;;INV;5;Set;35000;45000;0;0;0;
B-012;Bateray ABC 9V Super Power;ATK;Bateray ABC 9V Super Power;;INV;1;Bh;13750;19000;21000;0;0;
B-012;Bateray ABC 9V Super Power;ATK;Bateray ABC 9V Super Power;;INV;12;Pak;165000;205500;0;0;0;
BAG-001;Bag File Kancing Imco Bening;ATK;Bag File Kancing Imco Bening;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-001;Bag File Kancing Imco Bening;ATK;Bag File Kancing Imco Bening;R5;INV;12;Pak;21000;54000;0;0;0;
BAG-002;Bag File Kancing Imco Merah;ATK;Bag File Kancing Imco Merah;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-002;Bag File Kancing Imco Merah;ATK;Bag File Kancing Imco Merah;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-003;Bag File Kancing Imco Kuning;ATK;Bag File Kancing Imco Kuning;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-003;Bag File Kancing Imco Kuning;ATK;Bag File Kancing Imco Kuning;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-004;Bag File Kancing Imco Hijau;ATK;Bag File Kancing Imco Hijau;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-004;Bag File Kancing Imco Hijau;ATK;Bag File Kancing Imco Hijau;R5;INV;12;Pak;21000;54000;0;0;0;
BAG-005;Bag File Kancing Imco Biru;ATK;Bag File Kancing Imco Biru;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-005;Bag File Kancing Imco Biru;ATK;Bag File Kancing Imco Biru;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-006;Bag File Tali Imco Bening;ATK;Bag File Tali Imco Bening;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-006;Bag File Tali Imco Bening;ATK;Bag File Tali Imco Bening;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-007;Bag File Tali Imco Merah;ATK;Bag File Tali Imco Merah;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-007;Bag File Tali Imco Merah;ATK;Bag File Tali Imco Merah;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-008;Bag File Tali Imco Kuning;ATK;Bag File Tali Imco Kuning;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-008;Bag File Tali Imco Kuning;ATK;Bag File Tali Imco Kuning;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-009;Bag File Tali Imco Hijau;ATK;Bag File Tali Imco Hijau;R5;INV;1;Bh;3479;5000;5500;0;0;
BAG-009;Bag File Tali Imco Hijau;ATK;Bag File Tali Imco Hijau;R5;INV;12;Pak;41748;54000;0;0;0;
BAG-010;Bag File Tali Imco Biru;ATK;Bag File Tali Imco Biru;R5;INV;1;Bh;3500;5000;5500;0;0;
BAG-010;Bag File Tali Imco Biru;ATK;Bag File Tali Imco Biru;R5;INV;12;Pak;42000;54000;0;0;0;
BAG-011;Bag File kancing Zipper;ATK;Bag File kancing Zipper;R15;INV;1;Bh;9583;13500;15000;0;0;
BAG-011;Bag File kancing Zipper;ATK;Bag File kancing Zipper;R15;INV;12;Pak;114996;146000;0;0;0;
BAG-012;Bag File Zipper Sleting;ATK;Bag File Zipper Sleting;R15;INV;1;Bh;8333;11500;13000;0;0;
BAG-012;Bag File Zipper Sleting;ATK;Bag File Zipper Sleting;R15;INV;12;Pak;99996;124500;0;0;0;
BAG-013;Bag File Sleting Motif Batik;ATK;Bag File Sleting Motif Batik;R15;INV;1;Bh;10500;14500;16000;0;0;
BAG-013;Bag File Sleting Motif Batik;ATK;Bag File Sleting Motif Batik;R15;INV;12;Pak;126000;157000;0;0;0;
BAG-014;Bag File Zipper Microstar 2001 School Bag;ATK;Bag File Zipper Microstar 2001 School B;R12;INV;1;Bh;10500;14500;16000;0;0;
BAG-014;Bag File Zipper Microstar 2001 School Bag;ATK;Bag File Zipper Microstar 2001 School B;R12;INV;12;Pak;126000;157000;0;0;0;
BAG-015;Bag File Zipper Microstar 2002 School Bag;ATK;Bag File Zipper Microstar 2002 School B;R12;INV;1;Bh;10500;14500;16000;0;0;
BAG-015;Bag File Zipper Microstar 2002 School Bag;ATK;Bag File Zipper Microstar 2002 School B;R12;INV;12;Pak;126000;157000;0;0;0;
BAG-016;Bag File Expanding 4314;ATK;Bag File Expanding 4314;R14;INV;1;Bh;36500;49500;54500;0;0;
BAG-017;Bag File Expanding Giro ZT2016;ATK;Bag File Expanding Giro ZT2016;R14;INV;1;Bh;13500;18500;20500;0;0;
BC-001;Binder Clips No 105 Kenko / Joyko;ATK;Binder Clips No 105 Kenko / Joyko;R7;INV;1;Dus;2083;3500;4000;0;0;
BC-001;Binder Clips No 105 Kenko / Joyko;ATK;Binder Clips No 105 Kenko / Joyko;R7;INV;12;Pak;25000;38000;0;0;0;
BC-002;Binder Clips No 107 Kenko / Joyko;ATK;Binder Clips No 107 Kenko / Joyko;R7;INV;1;Dus;2375;3500;4000;0;0;
BC-002;Binder Clips No 107 Kenko / Joyko;ATK;Binder Clips No 107 Kenko / Joyko;R7;INV;12;Pak;28500;38000;0;0;0;
BC-003;Binder Clips No 111 Kenko / Joyko;ATK;Binder Clips No 111 Kenko / Joyko;R7;INV;1;Dus;3666;5000;5500;0;0;
BC-003;Binder Clips No 111 Kenko / Joyko;ATK;Binder Clips No 111 Kenko / Joyko;R7;INV;12;Pak;43992;54000;0;0;0;
BC-004;Binder Clips No 155 Kenko / Joyko;ATK;Binder Clips No 155 Kenko / Joyko;R7;INV;1;Dus;5150;7000;8000;0;0;
BC-004;Binder Clips No 155 Kenko / Joyko;ATK;Binder Clips No 155 Kenko / Joyko;R7;INV;12;Pak;61800;76000;0;0;0;
BC-005;Binder Clips No 200 Kenko / Joyko;ATK;Binder Clips No 200 Kenko / Joyko;R7;INV;1;Dus;9000;12500;14000;0;0;
BC-006;Binder Clips No 260 Kenko / Joyko;ATK;Binder Clips No 260 Kenko / Joyko;R7;INV;1;Dus;13500;18500;20500;0;0;
BC-007;Binder Clip 280 Kenko/Joyko;ATK;;R7;INV;1;Dus;20000;27000;30000;0;0;
BC-008;Binder Clips 300 Kenko/Joyko;ATK;Binder Clips 300 Kenko/Joyko;;INV;1;Dus;29583;53500;59000;0;0;
BF-001;Box File Bindex Biru / Hitam;ATK;Box File Bindex Biru / Hitam;R16;INV;1;Bh;25000;34000;37500;0;0;
BF-001;Box File Bindex Biru / Hitam;ATK;Box File Bindex Biru / Hitam;R16;INV;50;Dus;1250000;1530000;0;0;0;
BF-002;Box File Karton Star 27;ATK;Box File Karton Star 27;R17;INV;1;Bh;10416;14500;16000;0;0;
BF-002;Box File Karton Star 27;ATK;Box File Karton Star 27;R17;INV;12;Dus;124992;157000;0;0;0;
BF-003;Box File Bantex 4011 Biru, Orange, Merah;ATK;Box File Bantex 4011 Biru, Orange, Merah;R6;INV;1;Bh;28500;38500;42500;0;0;
BF-003;Box File Bantex 4011 Biru, Orange, Merah;ATK;Box File Bantex 4011 Biru, Orange, Merah;R6;INV;25;Dus;712500;866500;0;0;0;
BF-004;Box File Keranjang Plastik Maspion;ATK;Box File Keranjang Plastik V-tech;R6;INV;1;Bh;11000;17500;19500;0;0;
BF-004;Box File Keranjang Plastik Maspion;ATK;Box File Keranjang Plastik V-tech;R6;INV;12;Pak;132000;189000;0;0;0;
BF-005;Box Kartu Nama;ATK;Box Kartu Nama;R18;INV;1;Bh;1650;3000;3500;0;0;
BF-005;Box Kartu Nama;ATK;Box Kartu Nama;R18;INV;100;Pak;165000;270000;0;0;0;
BOT-001;Boat Casing Panjang;Kertas;Boat Casing Panjang;R4;INV;1;Set;200;700;1000;700;0;
BOT-002;Boat Casing Lebar;Kertas;Boat Casing Lebar;R4;INV;1;Set;200;700;1000;700;0;
BOT-003;Kertas Samson;Kertas;Kertas Samson;R4;INV;1;Lembar;400;1000;1500;0;0;
BOT-004;Boat Tebal A4;Bot;Boat Tebal A4;R1;INV;1;Pcs;1476;2100;2500;0;0;
BOT-005;Boat Tebal F4;Bot;Boat Tebal F4;R1;INV;1;Pcs;1722;2350;2585;0;0;
BOT-006;Boat plano;Bot;;;INV;1;Bh;9800;0;0;0;0;
BOT-007;Boat Casing Tipis;Bot;Bot Casing Tipis;;INV;1;Lbr;200;0;0;0;0;
BOT-008;Boat 21,2x33,5 (custome);Plano;Boat 21,2x33,5 (custome);;INV;1;Pcs;1722;0;0;0;0;
BS-001;Bak Stempel Hero Kecil E2460;ATK;Bak Stempel Hero Kecil E2460;R9;INV;1;Bh;7917;11000;12500;0;0;
BS-001;Bak Stempel Hero Kecil E2460;ATK;Bak Stempel Hero Kecil E2460;R9;INV;12;Pak;95004;119000;0;0;0;
BS-002;Bak Stempel Hero Besar E1460;ATK;Bak Stempel Hero Besar E1460;R9;INV;1;Bh;8958;12500;14000;0;0;
BS-002;Bak Stempel Hero Besar E1460;ATK;Bak Stempel Hero Besar E1460;R9;INV;12;Pak;107496;135000;0;0;0;
BS-003;Bak Stempel Joiko / Kenko No 0;ATK;Bak Stempel Joiko / Kenko No 0;R9;INV;1;Bh;4625;6500;7500;0;0;
BS-003;Bak Stempel Joiko / Kenko No 0;ATK;Bak Stempel Joiko / Kenko No 0;R9;INV;12;Pak;55500;70500;0;0;0;
BS-004;Bak Stempel Joiko / Kenko No 1;ATK;Bak Stempel Joiko / Kenko No 1;R9;INV;1;Bh;5208;7500;8500;0;0;
BS-004;Bak Stempel Joiko / Kenko No 1;ATK;Bak Stempel Joiko / Kenko No 1;R9;INV;12;Pak;62496;81000;0;0;0;
BS-005;Bak Stempel Joiko / Kenko No 2;ATK;Bak Stempel Joiko / Kenko No 2;R9;INV;1;Bh;12916;17500;19500;0;0;
BS-005;Bak Stempel Joiko / Kenko No 2;ATK;Bak Stempel Joiko / Kenko No 2;R9;INV;6;Pak;12916;94500;0;0;0;
BS-006;Bak Stempel Artline No. 1;ATK;Bak Stempel Artline No. 1;R9;INV;1;Bh;20500;28000;31000;0;0;
BS-006;Bak Stempel Artline No. 1;ATK;Bak Stempel Artline No. 1;R9;INV;12;Pak;246000;302500;0;0;0;
BS-007;Bak Stampel Bulat Colop;ATK;;;INV;1;Bh;48500;65500;72500;0;0;
BUKU-001;Buku 1/4 F (oktavo) 100 Ria;ATK;Buku 1/4 F (oktavo) 100 Ria;R9;INV;1;Bk;3700;5000;0;0;0;
BUKU-001;Buku 1/4 F (oktavo) 100 Ria;ATK;Buku 1/4 F (oktavo) 100 Ria;R9;INV;10;Pak;37000;45000;0;0;0;
BUKU-002;Buku A6 PPL;ATK;Buku A6 PPL;R9;INV;1;Bk;3621;5500;6500;0;0;
BUKU-002;Buku A6 PPL;ATK;Buku A6 PPL;R9;INV;5;Pak;18105;25000;0;0;0;
BUKU-003;Buku Bukti Kas 1/3F Prima;ATK;Buku Bukti Kas 1/3F Prima;R9;INV;1;Bk;2500;3500;4000;0;0;
BUKU-003;Buku Bukti Kas 1/3F Prima;ATK;Buku Bukti Kas 1/3F Prima;R9;INV;10;Pak;250000;31500;0;0;0;
BUKU-004;Buku Faktur Pajak;ATK;Buku Faktur Pajak;R9;INV;1;Bk;9500;13000;14500;0;0;
BUKU-004;Buku Faktur Pajak;ATK;Buku Faktur Pajak;R9;INV;10;Pak;95000;117000;0;0;0;
BUKU-005;Buku Folio 100 PPL;ATK;Buku Folio 100 PPL;R9;INV;1;Bk;13635;18500;20500;0;0;
BUKU-005;Buku Folio 100 PPL;ATK;Buku Folio 100 PPL;R9;INV;5;Pak;68175;83500;0;0;0;
BUKU-006;Buku Folio 100 Garda;ATK;Buku Folio 100 Garda;R9;INV;1;Bk;12500;17000;19000;0;0;
BUKU-006;Buku Folio 100 Garda;ATK;Buku Folio 100 Garda;R9;INV;5;Pak;62500;76500;0;0;0;
BUKU-007;Buku DFolio 100 Bintang Obor;ATK;Buku DFolio 100 Bintang Obor;R9;INV;1;Bk;32000;43500;48000;0;0;
BUKU-007;Buku DFolio 100 Bintang Obor;ATK;Buku DFolio 100 Bintang Obor;R9;INV;5;Pak;160000;196000;0;0;0;
BUKU-008;Buku Folio 200 PPL;ATK;Buku Folio 200 PPL;R9;INV;1;Bk;25578;35000;38500;0;0;
BUKU-008;Buku Folio 200 PPL;ATK;Buku Folio 200 PPL;R9;INV;3;Pak;76734;94500;0;0;0;
BUKU-009;Buku Folio 300 Bintang Obor;ATK;Buku Folio 300 Bintang Obor;R9;INV;1;Bk;46500;63000;69500;0;0;
BUKU-009;Buku Folio 300 Bintang Obor;ATK;Buku Folio 300 Bintang Obor;R9;INV;3;Pak;139500;170500;0;0;0;
BUKU-010;Buku Folio 500 Bintang Obor;ATK;Buku Folio 500 Bintang Obor;R9;INV;1;Bk;72500;98000;108000;0;0;
BUKU-010;Buku Folio 500 Bintang Obor;ATK;Buku Folio 500 Bintang Obor;R9;INV;2;Pak;145000;176500;0;0;0;
BUKU-011;Buku Quarto isi 100 PPL;ATK;Buku Quarto isi 100 PPL;R9;INV;1;Bk;7377;10000;11000;0;0;
BUKU-011;Buku Quarto isi 100 PPL;ATK;Buku Quarto isi 100 PPL;R9;INV;5;Pak;36885;45000;0;0;0;
BUKU-012;Buku Ekspedisi 100 Garda;ATK;Buku Ekspedisi 100 Garda;R9;INV;1;Bk;5000;7000;8000;0;0;
BUKU-012;Buku Ekspedisi 100 Garda;ATK;Buku Ekspedisi 100 Garda;R9;INV;5;Pak;25000;31500;0;0;0;
BUKU-013;Buku Ekspedisi 100 PPL;ATK;Buku Ekspedisi 100 PPL;R9;INV;1;Bk;7151;10000;11000;0;0;
BUKU-013;Buku Ekspedisi 100 PPL;ATK;Buku Ekspedisi 100 PPL;R9;INV;5;Pak;35755;45000;0;0;0;
BUKU-014;Buku Ekspedisi 200 Bintang Obor;ATK;Buku Ekspedisi 200 Bintang Obor;R9;INV;1;Bk;11000;15000;16500;0;0;
BUKU-014;Buku Ekspedisi 200 Bintang Obor;ATK;Buku Ekspedisi 200 Bintang Obor;R9;INV;5;Pak;55000;67500;0;0;0;
BUKU-015;Buku Gambar A4 Dodo/Ria;ATK;Buku Gambar A4 Dodo;R9;INV;1;Bk;2500;4000;4500;0;0;
BUKU-015;Buku Gambar A4 Dodo/Ria;ATK;Buku Gambar A4 Dodo;R9;INV;10;Pak;25000;36000;0;0;0;
BUKU-016;Buku Gambar A3 Ria;ATK;Buku Gambar A3 Ria;R9;INV;1;Bk;5500;7500;8500;0;0;
BUKU-016;Buku Gambar A3 Ria;ATK;Buku Gambar A3 Ria;R9;INV;10;Pak;27500;67500;0;0;0;
BUKU-017;Buku Kwitansi Kecil Sidu;ATK;Buku Kwitansi Kecil Sidu;R9;INV;1;Bk;1706;3000;3500;0;0;
BUKU-017;Buku Kwitansi Kecil Sidu;ATK;Buku Kwitansi Kecil Sidu;R9;INV;10;Pak;17060;27000;0;0;0;
BUKU-018;Buku Kwitansi Tanggung Sidu;ATK;Buku Kwitansi Tanggung Sidu;R9;INV;1;Bk;3140;4500;5000;0;0;
BUKU-018;Buku Kwitansi Tanggung Sidu;ATK;Buku Kwitansi Tanggung Sidu;R9;INV;10;Pak;31400;40500;0;0;0;
BUKU-019;Buku Kwitansi Besar Sidu;ATK;Buku Kwitansi Besar Sidu;R9;INV;1;Bk;4093;6000;7000;0;0;
BUKU-019;Buku Kwitansi Besar Sidu;ATK;Buku Kwitansi Besar Sidu;R9;INV;10;Pak;40930;54000;0;0;0;
BUKU-020;Buku Kas Folio B O 3 kolom;ATK;Buku Kas Folio B O 3 kolom;R9;INV;1;Bk;18500;27500;0;0;0;
BUKU-020;Buku Kas Folio B O 3 kolom;ATK;Buku Kas Folio B O 3 kolom;R9;INV;10;Pak;185000;112500;0;0;0;
BUKU-021;Buku Kas Folio Hitam;ATK;Buku Kas Folio Hitam;R9;INV;1;Bk;10000;13500;15000;0;0;
BUKU-021;Buku Kas Folio Hitam;ATK;Buku Kas Folio Hitam;R9;INV;10;Pak;100000;121500;0;0;0;
BUKU-022;Buku Kas Quarto Hitam;ATK;Buku Kas Quarto Hitam;R9;INV;1;Bk;5000;7000;8000;0;0;
BUKU-022;Buku Kas Quarto Hitam;ATK;Buku Kas Quarto Hitam;R9;INV;10;Pak;50000;63000;0;0;0;
BUKU-023;Buku Milimeter Blok Folio;ATK;Buku Milimeter Blok Folio;R9;INV;1;Bk;3000;4500;0;0;0;
BUKU-023;Buku Milimeter Blok Folio;ATK;Buku Milimeter Blok Folio;R9;INV;10;Pak;30000;40500;0;0;0;
